key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09
BTY-X37375000320021	non-food/reinigung/folien-beutel	PAPSTAR Trennpapiere für Burger Patties Weiß Papier 40 g/m² Ø 13 cm 500 Stück	17.48	17.48	17.48	17.48
BTY-X39333400320021	non-food/reinigung/folien-beutel	PAPSTAR Kosmetik-Abfallbeutel 5 l 16 my Weiß 100 Beutel	5.22	5.22	5.22	5.22
BTY-X39333400320022	non-food/reinigung/folien-beutel	PAPSTAR Kosmetik-Abfallbeutel 5 l 16 my Weiß 100 Beutel - 50 Packungen	261.21	261.21	261.21	261.21
BTY-X15694500320021	non-food/reinigung/folien-beutel	Toppits Doppelverschluss-Gefrierbeutel SafeLoc Verschluss, wiederverschließbar, 36 Stück à 1 l Packung	5.22	5.22	5.22	5.22
BTY-X60159900320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Tragegriff 10 l, 4 Rollen à 37 Stück	11.19	11.19	11.19	11.19
BTY-X31042200320021	non-food/reinigung/folien-beutel	Swirl Profi Schwerlast-Abfallsäcke mit Zugband reißfest 60 l, 3 Rollen à 12 Stück	13.89	13.89	13.89	13.89
BTY-X11513500320021	non-food/reinigung/folien-beutel	Pely Gefrierdosen-Set Domino 2 l	2.96	2.96	2.96	2.96
BTY-X11513500320022	non-food/reinigung/folien-beutel	Pely Fresh Gefrierbeutel 2 l Vorratspack 3 x 75 Stück Schachteln	8.89	8.89	8.89	8.89
BTY-X11515300320021	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 25 x 38 cm 4 l	2.96	2.96	2.96	2.96
BTY-X11515300320022	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 25 x 38 cm 4 l - 3 x	8.89	8.89	8.89	8.89
BTY-X11857500320021	non-food/reinigung/folien-beutel	Toppits Bratschlauch Transparent - 3 m	2.61	2.61	2.61	2.61
BTY-X11857500320022	non-food/reinigung/folien-beutel	Toppits Bratschlauch Transparent - 15 x 3 m	39.09	39.09	39.09	39.09
BTY-X22135900320021	non-food/reinigung/folien-beutel	Toppits Gefrierdosen-Set Domino 1 l	4.99	4.99	4.99	4.99
BTY-X22136100320021	non-food/reinigung/folien-beutel	Toppits Aroma-Schutz Gefrierbeutel 2 l 80 Stück Faltschachtel	4.99	4.99	4.99	4.99
BTY-X31042800320021	non-food/reinigung/folien-beutel	Swirl Profi Schwerlast-Abfallsäcke mit Zugband reißfest 120 l, 2 Rollen à 12 Stück	12.72	12.72	12.72	12.72
BTY-X31583200320021	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen Pure 142 ml - 50 Stück	5.94	5.94	5.94	5.94
BTY-X31583200320022	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen 142 ml Braun Pergamentpapier mit Silikonschicht Ø 11 cm - 12 x 50 Stück	71.26	71.26	71.26	71.26
BTY-X31583700320021	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen Pure Eckig 523 ml - 25 Stück	10.1	10.1	10.1	10.1
BTY-X31583700320022	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen 523 ml Braun Pergamentersatzpapier mit Silikonschicht eckig - 8 x 25 Stück	80.82	80.82	80.82	80.82
BTY-X37479600320021	non-food/reinigung/folien-beutel	PAPSTAR pure Backform 835 ml Braun Pergamentpapier mit Silikonschicht rund Ø 24,6 cm x 2,3 cm - 25 Stück	9.52	9.52	9.52	9.52
BTY-X37479600320022	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen Pure 835 ml Ø - 4 x 25 Stück	13.33	13.33	13.33	13.33
BTY-X37480200320021	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen eckig Braun 167 ml 4 x 6,5 x 11 cm - 50 Stück	9.52	9.52	9.52	9.52
BTY-X37480200320022	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen 167 ml Braun Pergamentersatzpapier mit Silikonschicht eckig 4 x 6,5 x 11cm - 16 x 50 Stück	154.7	154.7	154.7	154.7
BTY-X37480600320021	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen Pure 220 ml Ø	11.35	11.35	11.35	11.35
BTY-X37480600320022	non-food/reinigung/folien-beutel	PAPSTAR pure Backformen 220 ml Braun Pergamentpapier mit Silikonschicht Ø 13,8 cm c 2,1 cm - 6 x 50 Stück	68.12	68.12	68.12	68.12
BTY-X39335600320021	non-food/reinigung/folien-beutel	Pely Extra Star Beutel mit Zugband und Duft 25 l - 28 Stück	4.27	4.27	4.27	4.27
BTY-X39335800320021	non-food/reinigung/folien-beutel	Pely Extra Star Beutel mit Zugband und Duft 35 l - 24 Stück	4.27	4.27	4.27	4.27
BTY-X39336500320021	non-food/reinigung/folien-beutel	Pely Extra Star Beutel mit Zugband 35 l - 30 Stück	4.27	4.27	4.27	4.27
BTY-X39336600320021	non-food/reinigung/folien-beutel	Pely Extra Star Beutel mit Zugband 60 l - 20 Stück	4.27	4.27	4.27	4.27
BTY-X39705900320021	non-food/reinigung/folien-beutel	PAPSTAR Kompostbeutel Braun 10 l Papier	2.13	2.13	2.13	2.13
BTY-X22140100320021	non-food/reinigung/folien-beutel	Toppits Alufolie Silber Aluminium - 200 m	44.02	44.02	44.02	44.02
BTY-X557900320021	non-food/reinigung/folien-beutel	PAPSTAR Müllbeutel 46 x 52 cm Weiß 18 l 8 My 40 Stück - 5 Packungen	6.5	6.5	6.5	6.5
BTY-X60157800320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel 48 x 51,5 cm Dunkelgrau 20 l Kunststoff	15.66	15.66	15.66	15.66
BTY-X10767200320021	non-food/reinigung/folien-beutel	PAPSTAR Gefrierbeutel LDPE transparent 60 l 900 mm 500 mm 50 Stück	14.86	14.86	14.86	14.86
BTY-X43267500320021	non-food/reinigung/toiletten-handtuchpapier-seifenspender	aro Küchenrollen 3-lagig - 8 Rollen à 64 Blatt	5.5	5.5	5.5	5.5
BTY-X33686000320021	non-food/reinigung/toiletten-handtuchpapier-seifenspender	aro Küchentuch 2 Lagen 1 Rolle à 300 Blatt - 1 Packung	2.96	2.96	2.96	2.96
BTY-X26538500320021	non-food/reinigung/toiletten-handtuchpapier-seifenspender	Fine Life Küchentuch bunt bedruckt 3 Lagen 8 Rollen à 51 Blatt - 1 Packung	5.7	5.7	5.7	5.7
